2026-06-24 14:39:50 INFO  Element clicked : By.xpath: //div[@class='react-datepicker__month-container'][.//span[contains(.,'July') and contains(.,'2026')]]//div[contains(@aria-label,'Choose')]/span[contains(text(),'3')]
2026-06-24 14:39:50 INFO  Element clicked : By.xpath: //span[text()='Travellers & Class']/ancestor::div[contains(@aria-label,'Travellers class')]
2026-06-24 14:39:55 INFO  Element : By.xpath: //button[text()='Done']is set to displayed : true
2026-06-24 14:39:55 INFO  Element clicked : By.xpath: //p[text()='Adult']/following-sibling::div//li[text()='1']
2026-06-24 14:39:55 INFO  Element clicked : By.xpath: //p[text()='Child']/following-sibling::div//li[text()='1']
2026-06-24 14:39:56 INFO  Element clicked : By.xpath: //p[text()='Infant']/following-sibling::div//li[text()='1']
2026-06-24 14:39:56 INFO  Element clicked : By.xpath: //label[@aria-label='Economy']
2026-06-24 14:39:56 INFO  Element clicked : By.xpath: //button[text()='Done']
2026-06-24 14:39:56 INFO  Element clicked : By.xpath: //button[text()='Search']
2026-06-24 14:40:03 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:40:04 INFO  Element clicked : By.xpath: //span[text()='Date']/following-sibling::input[@name='flight_depart_date_0']
2026-06-24 14:40:04 INFO  Element : By.xpath: //div[@class='datepicker-inner full']is set to displayed : true
2026-06-24 14:40:04 INFO  1 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:40:04 INFO  Element clicked : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]/..//span[@class='full date-val' and text()='29']
2026-06-24 14:40:05 INFO  Element clicked : By.xpath: //button/span[text()='Search Again']
2026-06-24 14:40:09 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:40:09 INFO  Element clicked : By.xpath: //span[text()='Date']/following-sibling::input[@name='flight_depart_date_0']
2026-06-24 14:40:09 INFO  Element : By.xpath: //div[@class='datepicker-inner full']is set to displayed : true
2026-06-24 14:40:09 INFO  1 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:40:09 INFO  Element clicked : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]/..//span[@class='full date-val' and text()='30']
2026-06-24 14:40:10 INFO  Element clicked : By.xpath: //button/span[text()='Search Again']
2026-06-24 14:40:15 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:40:15 INFO  Element : By.xpath: //*[contains(@ng-show,'flt.totalFare')]is set to displayed : true
2026-06-24 14:40:16 INFO  Element clicked : By.xpath: //span[text()='Date']/following-sibling::input[@name='flight_depart_date_0']
2026-06-24 14:40:16 INFO  Browser instance cleared for testcase : yatra_search_flight
2026-06-24 14:40:19 INFO  yatra_search_flight : Testcase Execution is started and browser launched : chrome
2026-06-24 14:40:20 INFO  Element : By.xpath: //div[@class='datepicker-inner full']is set to displayed : true
2026-06-24 14:40:20 INFO  1 : Element found for the locator : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]
2026-06-24 14:40:22 INFO  Element clicked : By.xpath: //div[@class='month-name full' and contains(text(),'Jun 2026')]/..//span[@class='full date-val' and text()='26']
2026-06-24 14:40:27 INFO  Element clicked : By.xpath: //button/span[text()='Search Again']
